"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 14 12:29:43 GMT 2025","Sat Jun 14 12:29:45 GMT 2025","2044","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 14 12:29:51 GMT 2025","Sat Jun 14 12:29:53 GMT 2025","1510","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sat Jun 14 12:29:49 GMT 2025","Sat Jun 14 12:29:50 GMT 2025","1329","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sat Jun 14 12:29:52 GMT 2025","Sat Jun 14 12:29:54 GMT 2025","2551","LMS system","Courses","Courses","","","Create course",""
"passed","Sat Jun 14 12:29:55 GMT 2025","Sat Jun 14 12:29:57 GMT 2025","1973","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sat Jun 14 12:29:45 GMT 2025","Sat Jun 14 12:29:48 GMT 2025","3007","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sat Jun 14 12:29:43 GMT 2025","Sat Jun 14 12:29:45 GMT 2025","2017","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 14 12:29:45 GMT 2025","Sat Jun 14 12:29:47 GMT 2025","1762","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 14 12:29:48 GMT 2025","Sat Jun 14 12:29:50 GMT 2025","2130","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sat Jun 14 12:29:53 GMT 2025","Sat Jun 14 12:29:57 GMT 2025","3373","LMS system","Courses","Courses","","","Edit course",""
